Day,Number of Bicycle Hires
2017-10-13,34229
2017-10-14,32123
2017-10-15,32696
2017-10-16,34787
2017-10-17,35199
2017-10-18,27348
2017-10-19,31069
2017-10-20,31306
2017-10-21,22475
2017-10-22,21013
2017-10-23,30604
2017-10-24,33732
2017-10-25,36064
2017-10-26,28423
2017-10-27,34654
2017-10-28,26633
2017-10-29,22228
2017-10-30,31364
2017-10-31,33312
2017-11-01,34747
2017-11-02,34290
2017-11-03,34716
2017-11-04,17801
2017-11-05,21588
2017-11-06,30663
2017-11-07,27314
2017-11-08,29455
2017-11-09,31374
2017-11-10,28480
2017-11-11,16679
2017-11-12,16460
2017-11-13,29301
2017-11-14,29355
2017-11-15,30564
2017-11-16,31112
2017-11-17,29876
2017-11-18,12976
2017-11-19,18874
2017-11-20,25998
2017-11-21,31316
2017-11-22,31315
2017-11-23,30147
2017-11-24,28930
2017-11-25,17691
2017-11-26,15229
2017-11-27,24324
2017-11-28,28202
2017-11-29,27319
2017-11-30,25986
2017-12-01,24321
2017-12-02,16887
2017-12-03,12773
2017-12-04,27613
2017-12-05,29611
2017-12-06,29058
2017-12-07,24810
2017-12-08,24431
2017-12-09,15509
2017-12-10,5143
2017-12-11,13055
2017-12-12,22780
2017-12-13,20074
2017-12-14,24064
2017-12-15,21107
2017-12-16,12229
2017-12-17,7519
2017-12-18,23414
2017-12-19,22935
2017-12-20,21801
2017-12-21,20945
2017-12-22,17124
2017-12-23,9725
2017-12-24,7498
2017-12-25,27305
2017-12-26,7149
2017-12-27,5426
2017-12-28,11236
2017-12-29,8346
2017-12-30,10908
2017-12-31,9292
2018-01-01,10235
2018-01-02,14394
2018-01-03,20265
2018-01-04,17543
2018-01-05,21759
2018-01-06,13920
2018-01-07,12259
2018-01-08,23374
2018-01-09,24683
2018-01-10,26787
2018-01-11,25222
2018-01-12,24696
2018-01-13,17512
2018-01-14,15070
2018-01-15,19161
2018-01-16,26921
2018-01-17,26934
2018-01-18,26471
2018-01-19,25799
2018-01-20,9398
2018-01-21,5859
2018-01-22,26337
2018-01-23,26003
2018-01-24,20206
2018-01-25,28189
2018-01-26,26430
2018-01-27,14472
2018-01-28,17512
2018-01-29,26371
2018-01-30,28002
2018-01-31,24117
2018-02-01,25525
2018-02-02,25331
2018-02-03,8975
2018-02-04,13833
2018-02-05,23898
2018-02-06,25349
2018-02-07,25388
2018-02-08,25791
2018-02-09,21037
2018-02-10,9956
2018-02-11,14621
2018-02-12,24719
2018-02-13,20931
2018-02-14,18866
2018-02-15,25264
2018-02-16,25411
2018-02-17,23169
2018-02-18,18624
2018-02-19,19879
2018-02-20,25055
2018-02-21,26434
2018-02-22,26179
2018-02-23,23067
2018-02-24,16522
2018-02-25,14037
2018-02-26,19204
2018-02-27,18741
2018-02-28,10619
,
,
,
